Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira,,,,
SE;SP;GUARULHOS;AUTO POSTO SAKAMOTO LTDA; 49.051.667/0001-02;RODOVIA PRESIDENTE DUTRA;S/N;KM 210,5-SENT SP/RJ;BONSUCESSO;07178-580;GASOLINA;11/05/2004;1,967;1,6623;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,
SE;SP;GUARULHOS;AUTO POSTO SAKAMOTO LTDA; 49.051.667/0001-02;RODOVIA PRESIDENTE DUTRA;S/N;KM 210,5-SENT SP/RJ;BONSUCESSO;07178-580;ETANOL;11/05/2004;0,899;0,6282;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,
SE;SP;GUARULHOS;AUTO POSTO SAKAMOTO LTDA; 49.051.667/0001-02;RODOVIA PRESIDENTE DUTRA;S/N;KM 210,5-SENT SP/RJ;BONSUCESSO;07178-580;DIESEL;11/05/2004;1,299;1,1704;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;GASOLINA;10/05/2004;1,85;1,67;R$ / litro;BRANCA,,
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;ETANOL;10/05/2004;0,78;0,48;R$ / litro;BRANCA,,
SE;SP;SOROCABA;COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA; 00.003.188/0001-21;RUA HUMBERTO DE CAMPOS;306;;JARDIM ZULMIRA;18061-000;DIESEL;10/05/2004;1,29;1,216;R$ / litro;BRANCA,,
CO;DF;BRASILIA;GASOL COMBUSTÍVEIS AUTOMOTIVOS LTDA.; 00.603.738/0001-43;QI-QUADRA INTERNA 18  LOTES 47,49, 51 E 53;S/N;;TAGUATINGA;72315-000;GASOLINA;10/05/2004;2,03;1,7021;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;GASOL COMBUSTÍVEIS AUTOMOTIVOS LTDA.; 00.603.738/0001-43;QI-QUADRA INTERNA 18  LOTES 47,49, 51 E 53;S/N;;TAGUATINGA;72315-000;ETANOL;10/05/2004;1,29;0,8437;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;GASOL COMBUSTÍVEIS AUTOMOTIVOS LTDA.; 00.603.738/0001-43;QI-QUADRA INTERNA 18  LOTES 47,49, 51 E 53;S/N;;TAGUATINGA;72315-000;DIESEL;10/05/2004;1,46;1,2487;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;GASOLINA;11/05/2004;1,91;1,7059;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;ETANOL;11/05/2004;1,22;0,96;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
NE;BA;SALVADOR;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0015-08;RUA EDISTIO PONDE;474;;STIEP;41770-395;DIESEL;11/05/2004;1,28;1,1714;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
SE;RJ;NITEROI;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0033-81;AVENIDA ROBERTO SILVEIRA;205;;ICARAÍ;24230-151;GASOLINA;10/05/2004;2,039;1,7916;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
SE;RJ;NITEROI;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0033-81;AVENIDA ROBERTO SILVEIRA;205;;ICARAÍ;24230-151;ETANOL;10/05/2004;1,199;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,,
SE;RJ;MACAE;PETROBRAS DISTRIBUIDORA S.A.; 34.274.233/0052-44;RUA CONSELHEIRO ALMEIDA PEREIRA;303;;PRAIA CAMPISTA;27923-510;GASOLINA;11/05/2004;2,15;1,8799;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.,,
